name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_11-11,avg,otsu,9,40.14283,31.45564,-21.6407,0.98153,0.94255,-3.97135,49.61747,53.58376,7.99374
Case_11-11,avg,otsu,11,40.14283,29.81812,-25.71994,0.98153,0.92629,-5.62795,49.61747,54.54956,9.94023
Case_11-11,avg,otsu,13,40.14283,28.63369,-28.67047,0.98153,0.91325,-6.95649,49.61747,55.33638,11.526
Case_11-12,avg,otsu,3,39.72405,24.26892,-38.90623,0.98157,0.91496,-6.78607,53.3698,46.16499,-13.49979
Case_11-12,avg,otsu,5,39.72405,35.55311,-10.49979,0.98157,0.97227,-0.94746,53.3698,58.35218,9.33558
Case_11-12,avg,otsu,7,39.72405,33.34574,-16.05655,0.98157,0.95751,-2.45118,53.3698,60.87028,14.05379
Case_11-12,avg,otsu,9,39.72405,31.0412,-21.85792,0.98157,0.93807,-4.43168,53.3698,61.15434,14.58604
Case_11-12,avg,otsu,11,39.72405,29.40479,-25.97736,0.98157,0.92056,-6.21555,53.3698,59.12173,10.7775
Case_11-12,avg,otsu,13,39.72405,28.22539,-28.94634,0.98157,0.90677,-7.62044,53.3698,57.76557,8.23644
Case_11-13,avg,otsu,3,41.45233,24.29373,-41.39357,0.98114,0.91501,-6.74012,42.81937,52.22164,21.95798
Case_11-13,avg,otsu,5,41.45233,36.73518,-11.3797,0.98114,0.97405,-0.72263,42.81937,51.47777,20.22076
Case_11-13,avg,otsu,7,41.45233,35.14371,-15.21898,0.98114,0.96476,-1.66949,42.81937,52.99761,23.77018
Case_11-13,avg,otsu,9,41.45233,32.9809,-20.43656,0.98114,0.95169,-3.00161,42.81937,55.2926,29.12988
Case_11-13,avg,otsu,11,41.45233,31.40739,-24.23251,0.98114,0.93984,-4.20939,42.81937,56.19977,31.24847
Case_11-13,avg,otsu,13,41.45233,30.25852,-27.00406,0.98114,0.93035,-5.17663,42.81937,56.09926,31.01374
Case_11-15,avg,otsu,3,38.99535,25.00859,-35.86776,0.98753,0.93032,-5.79324,44.19239,49.41174,11.81052
Case_11-15,avg,otsu,5,38.99535,35.13896,-9.88936,0.98753,0.97818,-0.94681,44.19239,50.04499,13.24346
Case_11-15,avg,otsu,7,38.99535,32.45082,-16.78285,0.98753,0.96297,-2.48701,44.19239,51.54409,16.63567
Case_11-15,avg,otsu,9,38.99535,30.11088,-22.78341,0.98753,0.94397,-4.41101,44.19239,57.31789,29.70082
Case_11-15,avg,otsu,11,38.99535,28.48783,-26.94557,0.98753,0.92739,-6.08994,44.19239,58.03246,31.31777
Case_11-15,avg,otsu,13,38.99535,27.33818,-29.89374,0.98753,0.91471,-7.37395,44.19239,57.10937,29.22897
Case_12-01,avg,otsu,3,38.40191,25.67074,-33.15244,0.99019,0.94577,-4.48601,50.09678,43.83069,-12.50797
Case_12-01,avg,otsu,5,38.40191,35.83435,-6.68602,0.99019,0.98636,-0.38679,50.09678,55.85287,11.48994
Case_12-01,avg,otsu,7,38.40191,34.42612,-10.3531,0.99019,0.98169,-0.85842,50.09678,54.47752,8.74455
Case_12-01,avg,otsu,9,38.40191,32.32554,-15.82309,0.99019,0.97414,-1.6209,50.09678,56.39374,12.56959
Case_12-01,avg,otsu,11,38.40191,30.59167,-20.33816,0.99019,0.96637,-2.4056,50.09678,56.35066,12.4836
Case_12-01,avg,otsu,13,38.40191,29.21013,-23.93574,0.99019,0.95935,-3.11455,50.09678,61.99959,23.75963
Case_12-02,avg,otsu,3,38.24165,26.52706,-30.63307,0.99072,0.95325,-3.7821,49.81943,47.9124,-3.82788
Case_12-02,avg,otsu,5,38.24165,36.05882,-5.70799,0.99072,0.98733,-0.34218,49.81943,56.50199,13.41356
Case_12-02,avg,otsu,7,38.24165,34.39753,-10.05218,0.99072,0.9825,-0.8297,49.81943,54.48849,9.37197
Case_12-02,avg,otsu,9,38.24165,32.25409,-15.65717,0.99072,0.9751,-1.57663,49.81943,56.83319,14.07836
Case_12-02,avg,otsu,11,38.24165,30.51013,-20.21754,0.99072,0.96757,-2.33668,49.81943,57.52103,15.45903
Case_12-02,avg,otsu,13,38.24165,29.13609,-23.81058,0.99072,0.96082,-3.01801,49.81943,64.46352,29.39433
Case_12-03,avg,otsu,3,38.12653,26.56098,-30.33465,0.99019,0.95343,-3.71242,49.22305,48.84208,-0.77397
Case_12-03,avg,otsu,5,38.12653,35.8233,-6.04102,0.99019,0.98672,-0.35044,49.22305,56.61326,15.01372
Case_12-03,avg,otsu,7,38.12653,34.27322,-10.10664,0.99019,0.98178,-0.84933,49.22305,53.45636,8.60026
Case_12-03,avg,otsu,9,38.12653,32.11485,-15.76771,0.99019,0.97407,-1.62797,49.22305,54.71496,11.15719
Case_12-03,avg,otsu,11,38.12653,30.35033,-20.39577,0.99019,0.96616,-2.42681,49.22305,55.98174,13.73074
Case_12-03,avg,otsu,13,38.12653,28.95431,-24.05732,0.99019,0.95902,-3.14788,49.22305,60.71289,23.3424
Case_12-04,avg,otsu,3,38.79315,24.32236,-37.30244,0.99154,0.93017,-6.18936,48.53588,45.68428,-5.87524
Case_12-04,avg,otsu,5,38.79315,34.56329,-10.90363,0.99154,0.98233,-0.92886,48.53588,58.0077,19.51509
Case_12-04,avg,otsu,7,38.79315,32.9182,-15.1443,0.99154,0.97341,-1.82847,48.53588,54.49685,12.28157
Case_12-04,avg,otsu,9,38.79315,30.67617,-20.92375,0.99154,0.96082,-3.09821,48.53588,53.8012,10.8483
Case_12-04,avg,otsu,11,38.79315,28.91827,-25.45522,0.99154,0.94882,-4.30845,48.53588,55.32764,13.99328
Case_12-04,avg,otsu,13,38.79315,27.55098,-28.97978,0.99154,0.93841,-5.35833,48.53588,57.87633,19.24442
Case_12-05,avg,otsu,3,38.35374,25.00676,-34.79968,0.98993,0.93688,-5.35896,46.43389,48.81549,5.12901
Case_12-05,avg,otsu,5,38.35374,34.33025,-10.49048,0.98993,0.9792,-1.08392,46.43389,58.79187,26.61414
Case_12-05,avg,otsu,7,38.35374,32.18798,-16.07603,0.98993,0.96642,-2.37492,46.43389,55.15449,18.78068
Case_12-05,avg,otsu,9,38.35374,29.9861,-21.81701,0.98993,0.95104,-3.92856,46.43389,53.51869,15.25782
Case_12-05,avg,otsu,11,38.35374,28.32204,-26.15573,0.98993,0.93732,-5.31452,46.43389,56.11188,20.84251
Case_12-05,avg,otsu,13,38.35374,27.04619,-29.48226,0.98993,0.92602,-6.45601,46.43389,57.55831,23.95754
Case_12-06,avg,otsu,3,37.88619,26.21755,-30.79919,0.9895,0.95009,-3.98282,45.5057,51.08847,12.26829
Case_12-06,avg,otsu,5,37.88619,34.53487,-8.84576,0.9895,0.98087,-0.87216,45.5057,58.51131,28.58018
Case_12-06,avg,otsu,7,37.88619,32.32513,-14.67833,0.9895,0.96942,-2.02931,45.5057,55.49857,21.9596
Case_12-06,avg,otsu,9,37.88619,30.1716,-20.36254,0.9895,0.95606,-3.37948,45.5057,55.21335,21.33282
Case_12-06,avg,otsu,11,37.88619,28.54717,-24.6502,0.9895,0.94422,-4.57605,45.5057,56.70776,24.61683
Case_12-06,avg,otsu,13,37.88619,27.30447,-27.93028,0.9895,0.93458,-5.55028,45.5057,59.58806,30.94636
Case_12-07,avg,otsu,3,38.14533,25.37838,-33.46923,0.98912,0.93966,-5.0004,45.90962,49.6864,8.22655
Case_12-07,avg,otsu,5,38.14533,34.43687,-9.72192,0.98912,0.97848,-1.0757,45.90962,58.73121,27.92789
Case_12-07,avg,otsu,7,38.14533,32.1961,-15.59622,0.98912,0.96501,-2.43752,45.90962,55.35923,20.58307
Case_12-07,avg,otsu,9,38.14533,30.04152,-21.24457,0.98912,0.94947,-4.00861,45.90962,55.57787,21.05931
Case_12-07,avg,otsu,11,38.14533,28.42748,-25.47586,0.98912,0.93588,-5.38256,45.90962,56.14241,22.28899
