name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_brisque,im_brisque,delta_brisque
Case_7-05,avg,multilevel_tresholding,13,38.177,32.202,-15.65078,0.963,0.946,-1.76532,46.168,50.935,10.32533
Case_7-06,avg,multilevel_tresholding,13,38.122,32.089,-15.82551,0.964,0.948,-1.65975,45.409,49.9,9.89011
Case_7-07,avg,multilevel_tresholding,13,38.318,32.582,-14.96947,0.967,0.957,-1.03413,48.802,53.973,10.59588
Case_7-08,avg,multilevel_tresholding,13,38.105,32.528,-14.63587,0.961,0.944,-1.76899,55.092,53.522,-2.84978
Case_7-09,avg,multilevel_tresholding,13,37.247,31.789,-14.65353,0.966,0.951,-1.5528,58.074,54.773,-5.68413
Case_7-10,avg,multilevel_tresholding,13,38.04,33.666,-11.49842,0.941,0.924,-1.80659,57.033,53.47,-6.24726
Case_7-12,avg,multilevel_tresholding,13,37.297,31.487,-15.57766,0.96,0.939,-2.1875,57.267,57.54,0.47671
Case_8-01,avg,multilevel_tresholding,13,35.322,27.849,-21.15679,0.938,0.87,-7.24947,47.116,65.745,39.53859
Case_8-02,avg,multilevel_tresholding,13,35.864,29.009,-19.11387,0.94,0.9,-4.25532,58.62,60.811,3.73763
Case_8-03,avg,multilevel_tresholding,13,35.897,29.741,-17.14907,0.938,0.914,-2.55864,55.935,63.436,13.41021
Case_8-04,avg,multilevel_tresholding,13,35.92,29.177,-18.77227,0.939,0.898,-4.36635,57.692,64.402,11.63073
Case_9-01,avg,multilevel_tresholding,13,32.783,24.98,-23.80197,0.963,0.878,-8.82658,44.237,60.943,37.76477
Case_9-02,avg,multilevel_tresholding,13,33.534,25.45,-24.10688,0.949,0.851,-10.32666,46.073,59.699,29.57481
Case_9-03,avg,multilevel_tresholding,13,33.112,23.782,-28.1771,0.944,0.742,-21.39831,46.273,59.022,27.5517
Case_9-04,avg,multilevel_tresholding,13,33.201,25.44,-23.3758,0.959,0.852,-11.15746,46.2,64.547,39.71212
Case_9-05,avg,multilevel_tresholding,13,32.886,23.979,-27.08447,0.954,0.78,-18.23899,42.304,58.724,38.8143
Case_9-07,avg,multilevel_tresholding,13,33.11,23.743,-28.29055,0.948,0.774,-18.35443,51.367,60.25,17.2932
Case_9-08,avg,multilevel_tresholding,13,33.3,24.254,-27.16517,0.956,0.812,-15.06276,53.677,60.988,13.62036
Case_9-10,avg,multilevel_tresholding,13,33.049,24.113,-27.03864,0.959,0.816,-14.91137,43.85,56.868,29.68757
