name,type,map,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC
Case_10-06,gauss,0,1.7,10,33.63674,31.30419,-6.93453,0.96951,0.95775,-1.21298,0.99485,0.98589,-0.90064
Case_10-06,gauss,0,2,12,33.63674,30.12192,-10.44935,0.96951,0.94742,-2.27847,0.99485,0.98057,-1.43539
Case_10-07,gauss,1,0.4,2,33.55548,32.94267,-1.82626,0.97094,0.97023,-0.07313,0.99408,0.99213,-0.19616
Case_10-07,gauss,1,0.7,4,33.55548,31.84669,-5.09243,0.97094,0.97055,-0.04017,0.99408,0.98733,-0.67902
Case_10-07,gauss,1,1.1,6,33.55548,32.14137,-4.21424,0.97094,0.96997,-0.0999,0.99408,0.98791,-0.62067
Case_10-07,gauss,1,1.4,8,33.55548,31.86915,-5.0255,0.97094,0.96509,-0.60251,0.99408,0.98681,-0.73133
Case_10-07,gauss,1,1.7,10,33.55548,30.92432,-7.84122,0.97094,0.95649,-1.48825,0.99408,0.98279,-1.13572
Case_10-07,gauss,1,2,12,33.55548,29.73382,-11.38908,0.97094,0.94557,-2.61293,0.99408,0.97615,-1.80368
Case_10-07,gauss,0,0.4,2,33.55548,32.94267,-1.82626,0.97094,0.97023,-0.07313,0.99408,0.99213,-0.19616
Case_10-07,gauss,0,0.7,4,33.55548,31.84669,-5.09243,0.97094,0.97055,-0.04017,0.99408,0.98733,-0.67902
Case_10-07,gauss,0,1.1,6,33.55548,32.14137,-4.21424,0.97094,0.96997,-0.0999,0.99408,0.98791,-0.62067
Case_10-07,gauss,0,1.4,8,33.55548,31.86915,-5.0255,0.97094,0.96509,-0.60251,0.99408,0.98681,-0.73133
Case_10-07,gauss,0,1.7,10,33.55548,30.92432,-7.84122,0.97094,0.95649,-1.48825,0.99408,0.98279,-1.13572
Case_10-07,gauss,0,2,12,33.55548,29.73382,-11.38908,0.97094,0.94557,-2.61293,0.99408,0.97615,-1.80368
Case_10-08,gauss,1,0.4,2,33.53521,33.02122,-1.53269,0.97055,0.97013,-0.04327,0.99412,0.99246,-0.16698
Case_10-08,gauss,1,0.7,4,33.53521,32.13299,-4.18134,0.97055,0.97124,0.07109,0.99412,0.98847,-0.56834
Case_10-08,gauss,1,1.1,6,33.53521,32.4219,-3.31982,0.97055,0.97074,0.01958,0.99412,0.98879,-0.53615
Case_10-08,gauss,1,1.4,8,33.53521,32.07138,-4.36505,0.97055,0.96584,-0.48529,0.99412,0.9874,-0.67597
Case_10-08,gauss,1,1.7,10,33.53521,31.07838,-7.32612,0.97055,0.95734,-1.36108,0.99412,0.98318,-1.10047
Case_10-08,gauss,1,2,12,33.53521,29.858,-10.96522,0.97055,0.94652,-2.47592,0.99412,0.97647,-1.77544
Case_10-08,gauss,0,0.4,2,33.53521,33.02122,-1.53269,0.97055,0.97013,-0.04327,0.99412,0.99246,-0.16698
Case_10-08,gauss,0,0.7,4,33.53521,32.13299,-4.18134,0.97055,0.97124,0.07109,0.99412,0.98847,-0.56834
Case_10-08,gauss,0,1.1,6,33.53521,32.4219,-3.31982,0.97055,0.97074,0.01958,0.99412,0.98879,-0.53615
Case_10-08,gauss,0,1.4,8,33.53521,32.07138,-4.36505,0.97055,0.96584,-0.48529,0.99412,0.9874,-0.67597
Case_10-08,gauss,0,1.7,10,33.53521,31.07838,-7.32612,0.97055,0.95734,-1.36108,0.99412,0.98318,-1.10047
Case_10-08,gauss,0,2,12,33.53521,29.858,-10.96522,0.97055,0.94652,-2.47592,0.99412,0.97647,-1.77544
Case_10-09,gauss,1,0.4,2,33.12456,32.76273,-1.09233,0.96886,0.96889,0.0031,0.99415,0.9929,-0.12574
Case_10-09,gauss,1,0.7,4,33.12456,32.32224,-2.42213,0.96886,0.97126,0.24771,0.99415,0.99047,-0.37017
Case_10-09,gauss,1,1.1,6,33.12456,32.4833,-1.9359,0.96886,0.96995,0.1125,0.99415,0.99017,-0.40034
Case_10-09,gauss,1,1.4,8,33.12456,31.99088,-3.42248,0.96886,0.96429,-0.47169,0.99415,0.98808,-0.61057
Case_10-09,gauss,1,1.7,10,33.12456,30.90815,-6.69114,0.96886,0.95508,-1.42229,0.99415,0.98322,-1.09943
Case_10-09,gauss,1,2,12,33.12456,29.70046,-10.33704,0.96886,0.94379,-2.58758,0.99415,0.97625,-1.80053
Case_10-09,gauss,0,0.4,2,33.12456,32.76273,-1.09233,0.96886,0.96889,0.0031,0.99415,0.9929,-0.12574
Case_10-09,gauss,0,0.7,4,33.12456,32.32224,-2.42213,0.96886,0.97126,0.24771,0.99415,0.99047,-0.37017
Case_10-09,gauss,0,1.1,6,33.12456,32.4833,-1.9359,0.96886,0.96995,0.1125,0.99415,0.99017,-0.40034
Case_10-09,gauss,0,1.4,8,33.12456,31.99088,-3.42248,0.96886,0.96429,-0.47169,0.99415,0.98808,-0.61057
Case_10-09,gauss,0,1.7,10,33.12456,30.90815,-6.69114,0.96886,0.95508,-1.42229,0.99415,0.98322,-1.09943
Case_10-09,gauss,0,2,12,33.12456,29.70046,-10.33704,0.96886,0.94379,-2.58758,0.99415,0.97625,-1.80053
Case_10-10,gauss,1,0.4,2,33.95052,33.73351,-0.63919,0.96517,0.96582,0.06735,0.99297,0.99219,-0.07855
