name,type,map,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC
Case_11-10,gauss,1,1.1,6,36.24099,35.8638,-1.04078,0.96374,0.96682,0.31959,0.99643,0.99491,-0.15254
Case_11-10,gauss,1,1.4,8,36.24099,35.53724,-1.94186,0.96374,0.96577,0.21064,0.99643,0.99396,-0.24788
Case_11-10,gauss,1,1.7,10,36.24099,34.76147,-4.08245,0.96374,0.96235,-0.14423,0.99643,0.99201,-0.44358
Case_11-10,gauss,1,2,12,36.24099,33.82383,-6.66969,0.96374,0.95738,-0.65993,0.99643,0.98929,-0.71656
Case_11-11,gauss,1,0.4,2,36.24559,22.70093,-37.36913,0.9645,0.87678,-9.09487,0.99652,0.8934,-10.34801
Case_11-11,gauss,1,0.7,4,36.24559,34.79534,-4.00118,0.9645,0.96359,-0.09435,0.99652,0.9935,-0.30305
Case_11-11,gauss,1,1.1,6,36.24559,35.84467,-1.10612,0.9645,0.96741,0.30171,0.99652,0.99503,-0.14952
Case_11-11,gauss,1,1.4,8,36.24559,35.5946,-1.79605,0.9645,0.96669,0.22706,0.99652,0.99428,-0.22478
Case_11-11,gauss,1,1.7,10,36.24559,34.85275,-3.84278,0.9645,0.96356,-0.09746,0.99652,0.9925,-0.4034
Case_11-11,gauss,1,2,12,36.24559,33.90303,-6.46302,0.9645,0.9587,-0.60135,0.99652,0.98989,-0.66532
Case_11-12,gauss,1,0.4,2,35.80086,22.89728,-36.04265,0.96176,0.87776,-8.73399,0.99654,0.90278,-9.40855
Case_11-12,gauss,1,0.7,4,35.80086,34.40487,-3.89932,0.96176,0.96097,-0.08214,0.99654,0.99358,-0.29703
Case_11-12,gauss,1,1.1,6,35.80086,35.47012,-0.92383,0.96176,0.96487,0.32337,0.99654,0.99512,-0.14249
Case_11-12,gauss,1,1.4,8,35.80086,35.22436,-1.6103,0.96176,0.96384,0.21627,0.99654,0.99433,-0.22177
Case_11-12,gauss,1,1.7,10,35.80086,34.48341,-3.67994,0.96176,0.96026,-0.15596,0.99654,0.99251,-0.4044
