name,type,method,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_SCC,SCC,delta_SCC,jpg_MSE,MSE,delta_MSE,jpg_multissim,multissim,delta_multissim
Case_10-07,avg,fixed_multilevel_tresholding,3,33.55548,23.62706,-29.58807,0.97094,0.90807,-6.47517,0.99408,0.91107,-8.35043,7.06893,7.78614,10.14595,0.99194997549057,0.962830007076263,-2.93563008308411
Case_10-07,avg,fixed_multilevel_tresholding,5,33.55548,31.37495,-6.49828,0.97094,0.96003,-1.12365,0.99408,0.98451,-0.9627,7.06893,17.62904,149.38767,0.99194997549057,0.974089980125427,-1.80049002170563
Case_10-07,avg,fixed_multilevel_tresholding,7,33.55548,28.91785,-13.82078,0.97094,0.93361,-3.84473,0.99408,0.96947,-2.47566,7.06893,33.81893,378.41654,0.99194997549057,0.936079978942871,-5.63233995437622
Case_10-07,avg,fixed_multilevel_tresholding,9,33.55548,26.67224,-20.51301,0.97094,0.90206,-7.09416,0.99408,0.94478,-4.95936,7.06893,47.50842,572.07371,0.99194997549057,0.879410028457642,-11.3453197479248
Case_10-07,avg,fixed_multilevel_tresholding,11,33.55548,25.05533,-25.33163,0.97094,0.87432,-9.95118,0.99408,0.91571,-7.88367,7.06893,56.85814,704.3387,0.99194997549057,0.813830018043518,-17.9565505981445
Case_10-07,avg,fixed_multilevel_tresholding,13,33.55548,23.87559,-28.84742,0.97094,0.85235,-12.21394,0.99408,0.88485,-10.98805,7.06893,63.41355,797.07424,0.99194997549057,0.746519982814789,-24.7421703338623
Case_10-08,avg,fixed_multilevel_tresholding,3,33.53521,23.55637,-29.75631,0.97055,0.90628,-6.62202,0.99412,0.90988,-8.47383,7.07475,7.70423,8.89756,0.991919994354248,0.961889982223511,-3.0274600982666
Case_10-08,avg,fixed_multilevel_tresholding,5,33.53521,31.54031,-5.94867,0.97055,0.96083,-1.00149,0.99412,0.98495,-0.92242,7.07475,17.51519,147.57327,0.991919994354248,0.974250018596649,-1.78138995170593
Case_10-08,avg,fixed_multilevel_tresholding,7,33.53521,29.03653,-13.4148,0.97055,0.93474,-3.68966,0.99412,0.96984,-2.44236,7.07475,33.72272,376.66306,0.991919994354248,0.936330020427704,-5.6042799949646
Case_10-08,avg,fixed_multilevel_tresholding,9,33.53521,26.76506,-20.18818,0.97055,0.90336,-6.92288,0.99412,0.94526,-4.9149,7.07475,47.42854,570.39175,0.991919994354248,0.87975001335144,-11.3083696365356
Case_10-08,avg,fixed_multilevel_tresholding,11,33.53521,25.13462,-25.05006,0.97055,0.87565,-9.77796,0.99412,0.91639,-7.81898,7.07475,56.76142,702.3099,0.991919994354248,0.814300000667572,-17.9066791534424
